4374	Commodore finds new lease of life  The once-famous Commodore computer brand could be resurrected after being bought by a US-based digital music distributor.  New owner Yeahronimo Media Ventures has not ruled out the possibility of a new breed of Commodore computers. It also plans to develop a "worldwide entertainment concept" with the brand, although details are not yet known. The groundbreaking Commodore 64 computer elicits fond memories for those who owned one back in the 1980s.  In the chronology of home computing, Commodore was one of the pioneers.  The Commodore 64, launched in 1982, was one of the first affordable home PCs. It was followed a few years later by the Amiga. The Commodore 64 sold more than any other single computer system, even to this day. The brand languished somewhat in the 1990s. Commodore International filed for bankruptcy in 1994 and was sold to Dutch firm Tulip Computers. In the late 1980s the firm was a great rival to Atari, which produced its own range of home computers and is now a brand of video games, formerly known as Infogrames.  Tulip Computers sold several products under the Commodore name, including portable USB storage devices and digital music players. It had planned to relaunch the brand, following an upsurge of nostalgia for 1980s-era games. Commodore 64 enthusiasts have written emulators for Windows PC, Apple Mac and even PDAs so that the original Commodore games can be still run. The sale of Commodore is expected to be complete in three weeks in a deal worth over £17m. 	tech
3502	Minister digs in over doping row  The Belgian sports minister at the centre of the Svetlana Kuznetsova doping row says he will not apologise for making allegations against her.  Claude Eerdekens claims the US Open champion tested positive for ephedrine at an exhibition event last month. Criticised for making the announcement, he said: "I will never apologise. This product is banned and it's up to her to explain why it's there." Kuznetsova says the stimulant may have been in a cold remedy she took. The Russian said she did nothing wrong by taking the medicine during the event. The Women's Tennis Association cleared Kuznetsova of any offence because the drug is not banned when taken out of competition.  Eerdekens said he made the statement in order to protect the other three players that took part in the tournament, Belgian Justine Henin-Hardenne, Nathalie Dechy of France and Russia's Elena Dementieva. But Dechy is fuming that she has been implicated in the row. "How can you be happy when you see your face on the cover page and talking about doping?" Dechy said. "I'm really upset about it and I think the Belgian government did a really bad job about this. "I think we deserve an apology from the guy. You cannot say anything like this - you cannot say some stuff like this, saying it's one of these girls. This is terrible." Dementieva is also angry and says that Dechy and herself are the real victims of the scandal. "You have no idea what I have been through all these days. It's been too hard on me," she said. "The WTA are trying to handle this problem by saying there are three victims, but I see only two victims in this story - me and Nathalie Dechy, who really have nothing to do with this. "To be honest with you, I don't feel like I want to talk to Sveta at all. I'm just very upset with the way everything has happened." 	sport
119	Bank opts to leave rates on hold  The Bank of England has left interest rates on hold at 4.75% for a sixth month in a row.  The Bank's Monetary Policy Committee (MPC) decided to take no action amid mixed signals from the economy. But some economists predict a further rise in the cost of borrowing will come later this year. Interest rates rose five times between November 2003 and August 2004 as soaring house prices and buoyant consumer data sparked inflation fears. Bank of England governor Mervyn King has recently warned against placing too much weight on one month's economic data, suggesting the MPC is waiting for a clearer picture to emerge. Economists see next week's inflation report from the MPC as key in assessing whether a further interest rate rise is necessary to keep the economy in check.  Slower consumer spending and a quieter housing market are likely to have convinced the MPC that rates should be left unchanged in recent months. Inflation, however, has been rising faster than expected, hitting an annual rate of 1.6% in December - its highest level in six months. Data on Wednesday also showed manufacturing output rose at its fastest rate since May last month, reinforcing a view that economic growth was stronger than forecasts.  And recent house surveys from the Halifax and Nationwide have indicated prices are still rising, albeit at a slower pace than in recent years. Philip Shaw, chief economist at Investec Securities, said he believed rates would remain at 4.75% for the rest of the year although strong economic data could lead to a further hike. "The economic landscape has changed quite considerably over the last couple of months, " he said. "Growth appears stronger and the MPC may become more concerned about inflation trends." Howard Archer, economist at Global Insight said the MPC "may well consider that the balance of risks to the growth and inflation outlook have moved from the downside to the upside".  Business groups welcomed the MPC's widely-expected move to leave rates on hold and cautioned against further rises. The British Chambers of Commerce (BCC) said it was "concerned by the clamour in some quarters" for early interest rate increases. "We believe that these demands should be firmly resisted," said David Frost, BCC director general. "Manufacturing still faces extremely serious problems and is performing poorly, in spite of the recent revised figures." Ian McCafferty, chief economist at the CBI, said the MPC faced an "interesting" challenge. "Consumers appear to have pulled in their horns over the holiday period, and exporters are struggling with the strength of sterling," he said. "However, the broader economy continues to show healthy growth, and the tight labour market and buoyant commodity prices are nudging inflation higher." 	business
2019	Drink remark 'acts as diversion'  The first minister's statement that it was okay to get drunk "once in a while" has diverted attention from the real issues, it has been claimed.  Jack Law, chief executive of Alcohol Focus Scotland, said Jack McConnell's comment was "ill-advised". The media attention had helped to move the focus from Scotland's binge drinking problems, Mr Law said. Scotsman journalist Hamish MacDonell said he believed the bigger picture had been "obscured" by the remark. Mr McConnell was speaking on Monday to more than 100 secondary pupils from schools in the Highlands about the problems of binge drinking and drink promotions.  The one-sentence comment was immediately criticised by the Scottish National Party which accused him of encouraging young people to get drunk. But the Scottish Executive has insisted Mr McConnell was speaking about adults and his comments were "a recognition that people will get drunk". Mr MacDonell, political editor of The Scotsman, said: "I think we have to say right at the outset that this was a very stupid and ill-advised remark by the first minister. "If you come out with something like this, saying that by all means get drunk, then you will be pilloried for it." However, he added that "perhaps Mr McConnell could feel rightly aggrieved about the coverage".  Mr MacDonell said: "I think the problem here is that he did say a lot more things about binge drinking and under age drinking. "But that whole side of things has been lost in the furore over one sentence. I understand why, but I think there is a much bigger message here that has been obscured." Mr Law, from voluntary body Alcohol Focus Scotland, believed damage had been done to Scotland's fight against binge drinking. He said he accepted that young people drank and they did have problems with drink. Mr Law added: "I think the remark was ill-advised - but these remarks are blown out of all proportion and they so easily misrepresent what we are trying to do in Scotland.  "We don't want to preach to young people, but we need to acknowledge that they do drink problematically. "This diverts us from the real issues which are about promoting responsibility and reducing harm and indeed tackling our drinking culture which is a culture about binge drinking and drunkenness." He said it was vital that young people were properly informed about the risks incurred to themselves and others when they got drunk. Mr MacDonell said that the first minister should know by now that if he said things which were "off the mark", they were bound to "come back and bite him". He added: "Here, Mr McConnell was talking in the Highlands to 100 teenagers and every word he said was put out on a webcast by the Scottish Executive and then looked at by other politicians and reporters. "I think in this instance he has done a lot of really good things and he will be regretting this remark."  The Scottish National Party's Holyrood leader Nicola Sturgeon wrote to Mr McConnell on Tuesday accusing him of an error of judgement and calling for him to apologise for his "ill-judged comment" and withdraw it immediately. In a furious response, the first minister said his comments had been distorted and taken out of context. He told Ms Sturgeon: "It is disappointing that you have contributed to this distortion by saying it is staggering that I 'should encourage young people to get drunk'. "That is completely untrue. Perhaps it would have been wiser for you to find out what was actually said before you rushed to represent my position, undermine the convener of education at Highland Council and insult the intelligence of the young people I spoke with - all for the sake of a simple soundbite." 	politics
3347	Moore questions captaincy  Brian Moore believes the England captain should not be a full-back.  Jason Robinson has led the team during their opening three defeats in the Six Nations tournament, in the absence of fly-half Jonny Wilkinson. The world champions have struggled since the retirement of former captain Martin Johnson, a lock forward. And former England captain Moore told the BBC: "Full-backs are too far away from the action. That's not a reflection on Robinson personally." He added: "I just think the point of influence needs to move closer to the pack - which is, after all, where games usually start and finish." Moore says a lack of cohesion in the forwards is one of the reasons why England have lost against Wales, France and Ireland in this year's tournament. "Assertiveness in the pack isn't there, we're not getting enough people into the breakdowns," he explained. "Wer'e not getting quick ball, which means the backs are being stifled. Their creativity depends on quick ball and we're not getting that."  With injuries depriving him of key players like Wilkinson, coach Andy Robinson has given youngsters such as Harry Ellis and Jamie Noon a chance. And Moore believes the last two games against Italy and Scotland are a good opportunity to experiment further. "The problem is the players that are around to replace the icons which have been lost because of retirement and injury don't have the requisite experience," Moore added. "You can't do anything about that but play them. There are players who have been knocking on the door, it's time for them to be looked at in these last two games because there's nothing on them. "We then go into next season with a greater certainty of who can and cannot handle the pressure of international rugby." 	sport
3408	Bortolami predicts dour contest  Italy skipper Marco Bortolami believes Saturday's Six Nations contest against Scotland will be a scrappy encounter.  With both sides looking for their first win of the championship, the third-round game at Murrayfield has been billed as a wooden-spoon decider. And Bortolami feels the Edinburgh contest could end up being a bruising battle of the packs. "It will not be a pretty game because both teams are desperate to gain their first win," said the lock forward. Italy have only recorded three wins since they joined the Six Nations in 2000, but two of those have come against Scotland. This year, Italy opened up with a stubborn display against Ireland but ended up losing 28-17.  However, they were thoroughly outplayed by an impressive Welsh side in Rome last time out. Now the Italians travel to Edinburgh hoping to claim their first away win in the Six Nations. "Scotland played extremely well against France in Paris but not so well when Ireland came to Edinburgh," said Bortolami. "We are still very disappointed with our last game against Wales in Rome and we are thoroughly determined to right the wrongs. "As a nation, our quest is to be respected as a team worthy of a place in this tournament and we can only do this by winning games." 	sport
2183	Former NI minister Scott dies  Former Northern Ireland minister Sir Nicholas Scott has died at a London hospice, his family has announced.  The former Conservative MP for Kensington and Chelsea, died after a long illness diagnosed as Alzheimer's. The 71-year-old served in Northern Ireland from 1981 to 1987 during the premiership of Margaret Thatcher. As a Northern Ireland minister he dealt with education and later security where he rode out the mass IRA escape from the Maze in 1983.  In education, he encountered criticism over school closures and the future of the Catholic training colleges. He also merged the New University of Ulster and the Ulster Polytechnic to create the University of Ulster. Sir Nicholas was a strong defender of the Anglo-Irish Agreement and was held in esteem in Dublin government and SDLP circles. But he experienced hostility from unionists some of whom dubbed him "Minister of Discord". After leaving Northern Ireland in a reshuffle, he became a UK disability minister. Sir Nicholas was replaced as the member for Kensington and Chelsea by the flamboyant Alan Clark, after being deselected by his constituency in December 1996. His deselection followed a series of scandals including being found slumped in the street by police during the Tory Party conference in Bournemouth and taken back to his hotel.  Sir Nicholas claimed strong painkillers he was taking for a back problem had reacted badly with a small amount of alcohol. After his sacking, he bitterly said that despite the support of Cabinet ministers and Tory backbenchers, the Eurosceptics in his constituency were "absolutely determined to get rid of me". His colourful career also included a very public disagreement with daughter Victoria over civil rights for the disabled. Sir Nicholas admitted he misled MPs when he denied his department had been involved in wrecking tactics designed to kill the Disability Bill in 1994. Victoria, a lobbyist for disabled rights, denounced her father's actions and heaped insult on injury when she joined the calls for him to resign. He joined the backbenches two months later. 	politics
179	Irish duo could block Man Utd bid  Irishmen JP McManus and John Magnier, who own a 29% stake in Manchester United, will reportedly reject any formal £800m offer for the club.  The Sunday Times and The Sunday Telegraph say they will oppose any formal £800m takeover bid from US tycoon Malcom Glazer. Mr Glazer got permission to look at the club's accounts last week. Irish billionaires Mr McManus and Mr Magnier are said to believe that an £800m bid undervalues club prospects.  Mr Magnier and Mr McManus, who hold their stake through their Cubic Expression investment vehicle have the power to block a bid. Mr Glazer's financial backers, including JP Morgan, the US investment bank have said they won't back a bid unless it receives backing from the owners of at least 75% of the club's shares. However, there has been much speculation that the Irish duo simply do not think the price offered - 300p a share - is high enough. Mr Glazer has been stalking the premier league football club since 2003.  Mr Magnier and Mr McManus issued a statement late on Friday saying that they remained "long-term investors" in Man Utd. The Sunday Telegraph says the board of Manchester United also considered a management buyout at just over 300p but did not go ahead with it. 	business
4284	Hacker threat to Apple's iTunes  Users of Apple's music jukebox iTunes need to update the software to avoid a potential security threat.  Hackers can build malicious playlist files which could crash the program and let them seize control of the computer by inserting Trojan code. A new version of iTunes is now available from the Apple website which solves the problem. Security firm iDefence, which notified users of the problem, recommended that users upgrade to iTunes version 4.7.1. The problem affects all users of iTunes - Windows and Mac OS - running versions 4.7 and earlier. Users can automatically upgrade iTunes by opening the "look for updates" window in the program. The security firm says users should avoid clicking on or accessing playlist files - which have the file extension of .pls or .m3u - which have come from unknown sources. Itunes is the world's most popular online music store with more than 200 million songs downloaded since it launched in 2003. 	tech
3474	Mauresmo opens with victory in LA  Amelie Mauresmo and Maria Sharapova won their opening matches at the Tour Championships in Los Angeles.  France's Mauresmo routed Vera Zvonareva 6-1 6-0, while Wimbledon champion Sharapova was a 6-1 6-4 winner over fellow Russian Svetlana Kuznetsova. American Serena Williams also won, edging Russian Elena Dementieva 7-6 7-5 for her second victory of the event. The event is split into two groups of four with the top two from each advancing to the semi-finals.  Mauresmo's win was her ninth in a row as she tries to overtake Lindsay Davenport for the number one spot. Mauresmo spent five weeks at number one after the US Open before injury ushered Davenport back in front. "Since then, I feel very confident on court and my game is there. I want to get the ranking back, but it's very different than before I was number one. "It was an obsession, but now I take it in a relaxed way." Mauresmo completed her first match in the season-ending championship in 54 minutes as Russia's Zvonareva struggled to return her serve and failed to achieve a single break point.  "She got mad a little bit and I played some great tennis," said Mauresmo, who was runner-up to Kim Clijsters in last year's final. Zvonareva has lost both her games so far, having crashed 6-2 6-4 Kuznetsova in the Staples Centre on Wednesday. "Sometimes not everything works," she said. "It was lots of pressure. Maybe that is why I couldn't do 100%. But I was fighting." Sharapova, who lost 6-2 6-2 to Kuznetsova in Beijing in September, said: "In Beijing, she was coming off such a big winning streak [14 matches] and she was unstoppable. "This time, it was important to start off well and put some pressure on her." The tournament debutant added: "I love it here. The atmosphere is great. "To be here where the Lakers play, you just feel that excitement. I love basketball." Williams admitted she is still some way off her best form but remained positive after two wins in two days. "It's hard to go out there and get it right but I'm fighting and I'm hoping," said Williams. "What makes me happy is the effort. I had a really good effort today. "I'm trying to add new dimensions to my game." 	sport
